ID,MX2_WI_SEASON,MX2_WI_SEASON_INFO,MX2_WI_SEASON_TYPE,MX3_CONT_INT,MX3_CONT_INT_INFO,MX4_WFREQ,MX4_WFREQ_INFO,MX4G_WFREQ_AWAR,MX4G_WFREQ_AWAR_INFO,MX5_WFREQ_NDAYS,MX5_WFREQ_NHRS,MX5_WFREQ_HRS/DAY,MX5_WFREQ_HRS/WEEK,MX5_WFREQ_HRS_INFO,MX5_WFREQ_HRS_INFO2,MX6_WPRESS,MX6_WPRESS_INFO,NOTES
407,abril,"Abril--> este año, antes no les había faltado. Cae poquito pero no había faltado así--escucharon la noticia q iba a faltar pero no pensaron que sería así. Estuvieron 30 días sin agua--> tuvieron que comprar garrafon",cortan/deja de caer,Intermitente,,1 a 3 días a la semana,,N/A,x sonido. golpean tinaco para saber--> muco(?)--> vacío,"2, 3",1-2,1-2/2-3,3.75,cada 3er día--mañanas lunes. se escucha--> varía--aveces todos los días o se salta 1. Pero llega 1 o 2 horas al día,cada 3er día (varía); Pero llega 1 o 2 horas al día,No,trata de no ocupar tanta-- le hace rendir--si hicieron de todo no les alcanzaría. lava 1 vez; luego baño,
408,"época de calor, abril, mayo",abril-mayo. por el calor que hace,disminuye,Continua,,Diario,todo el día,no se dan cuenta,"dejó de caer 2 semanas en la colonia, pero nunca le dejó de caer a ella por los tinacos y cisterna. En la colonia hasta 3 horas al día. Pero a ella no le afecta por el almacenamiento. A los demás les deja de caer agua a las 3 pm.",7,24,24/7 ,168,"lunes a domingo, todo el día. por el almacenamiento. ",por el almacenamiento (A los demás les deja de caer agua a las 3 pm.),Sí,,
409,semana santa,semana santa--> xq cierran las tomas. Caía muy poca. Si hubo siempre,disminuye,Continua,,Diario,sucia a veces--> en las mañanas,sí se dan cuenta,no. solo llave,7,24,24/7,168,todo el día,,N/A,"mañana--> mucho, luego disminuye. Le cae menos tipo 2 o 3 pm.",
420,"semana santa, marzo",Marzo. por el desperdicio que se hace en semana santa. la disminuye,disminuye,Intermitente,diario de 7-2pm y en las noches.,Diario,,sí se dan cuenta,Si deja de llegar sí nos damos cuenta.,7,~19(?),~19/7,133,en las mañanas de 7-2pm y de 6-7pm en adelante(?). diario,en las mañanas de 7-2pm y de 6-7pm en adelante(?). diario,Sí,,
421,"semana santa, abril",abril--1 vez a la semana--> a lo mejor por semana santa,N/A,Intermitente,,Diario,,podria ser (q no se dan cuenta),Podrían no darse cuenta--tinaco,7,3,3/7,21,9am-12pm,diario; 9am-12pm,Sí,x tinaco,
422,"marzo, abril, mayo",marzo-mayo. creo que xq disminuye en el cutzamala,disminuye,Continua,,Diario,,no se dan cuenta,"creo que sí deja de llegar, pero por la cisterna y tinaco no no damos cuenta",7,24,24/7,168,en mi casa he tenido agua diario pero por la cisterna no nos damos cuenta,continua (no se dan cuenta si se corta x cisterna y tinaco,Sí,,
423,"semana santa, abril, mayo, junio, julio",semana santa--abril--no abren tomas--> hasta una semana. abril hasta julio--Escasez} sobrepoblación y escasez xq desperdician (?),cortan/deja de caer,Intermitente,,4 a 6 días a la semana,,sí se dan cuenta,no,"4, 5, 6",~3,3/4-6,15,varía. no es predecible. Usual% en las mañanas--> 8:30-11:30am//a veces poca presión y agua no sube a 1era planta,varía. no es predecible; usual% 8:30-11:30am,No,tienen que prender bomba--> hay q apagar xq si no se quema,
424,abril,"abril. porque en este tiempo gastan más agua, y entonces la disminuyen creo que por lo de sabado de gloria",disminuye,Intermitente,,4 a 6 días a la semana,,no se dan cuenta,"si pasa, deja de llegar el agua, pero por el tinaco no nos damos cuenta.","4, 5, 6",5-6,5-6/4-6,27.5,"en general hay agua, toda la semana. Pero martes y jueves son los días que hay más presión y cantidad. 8am a 1-2pm","4-6 días a la semana; en general hay agua, toda la semana. martes y jueves=más presión y cantidad. 8am a 1-2pm",No,"porque es por horarios, en las mañanas habría mejor presión pero a las tardes cae un chorrito solamente",
425,"mayo, junio",mayo-junio el calor} el calor y se empieza a secar,N/A,Intermitente,,Diario,,N/A,escuchan cuando se empieza a llenar,7,3,3/7,21,diario--> 9am-12pm,diario--> 9am-12pm,Sí,si tiene presión,
426,semana santa,este año pasó en semana santa que nos quedamos sin agua y pedimos la pipa,cortan/deja de caer,Intermitente,,1 a 3 días a la semana,,sí se dan cuenta,Sí deja de llegar pero sí nos damos cuenta.,3,2 días-->24 | 1 día-->6,horas x semana: 54 (24/2 y 6/1),54,"martes y jueves (todo el día)
sabado (7am-1pm)","martes y jueves (todo el día)
sabado (7am-1pm)",No,"aveces llega muy poquita, es un chorrito",
427,N/A,si,N/A,Intermitente,,Diario,cae poco. se les va a veces (menos de 1 vez x semana),N/A,,7,3.5,3.5/7,24.5,,diario (cae poco); 8:30am-12:00pm,a veces,variable,
428,abril,En abril escasea no sé porqué. quizas sea por lo del sabado de gloria y por eso nos la quitan.,disminuye,Intermitente,diario de 9am-13hrs,Diario,,sí se dan cuenta,si deja de llegar el agua y sí nos damos cuenta porque tenemos que llenar los botes.,7,3-4,3-4/7,24.5,todos los días hay de 9:00 am hasta 12-13 hrs se va el agua. Es raro que haya agua.,diario de 9am-12 o 13hrs,Sí,tenemos bomba para subir el agua,
429,"semana santa, marzo, abril, noviembre",marzo-abril y aveces en noviembre. Dicen que en marzo escasea por lo de semana santa.,disminuye,Intermitente,,4 a 6 días a la semana,,sí se dan cuenta,si deja de llegar el agua y si nos damos cuenta porque tenemos la cisterna. El agua de cisterna la ocupo para lavar ropa y el de los botes la usamos para bañarnos por eso me doy cuenta. Cuando llega el agua xque la lleno diario.,5,4 días--> 4 hrs | 1 día--> 7-8 hrs,horas x semana: ~23 (4/4 y 7-8/1),23,4 días a la semana de 8am-12pm (jueves de 8am a 3-4pm). Hace 2 años que deja de caer en la noche,4 días a la semana de 8am-12pm (jueves de 8am a 3-4pm),Sí,,
430,época de calor,"en epoca de calor, porque es cuando más se utiliza el agua.",N/A,Intermitente,,1 a 3 días a la semana,,sí se dan cuenta,"sí deja de llegar, pero como somos muchos hay que estar prendiendo la bomba continuamente y sí nos damos cuenta.","1, 2, 3",~4,~4/1-3,8,"Varían los días, pero llega 1, 2, 3 veces al día, en las mañanas desde 8am-12pm","Varían los días, pero llega 1, 2, 3 veces al día, en las mañanas desde 8am-12pm",No,"varía a veces es con buena presión, y aveces cae poca agua",
431,semana santa,"En semana santa, porque es cuando mucha gente la tira y por eso la cortan",cortan/deja de caer,Intermitente,,1 a 3 días a la semana,,sí se dan cuenta,Sí nos damos cuenta aunque hay tinaco,"1, 2, 3",5,5/1-3,10,"1 a 3 veces a la semana, de 8am-1pm","1 a 3 veces a la semana, de 8am-1pm",Sí,solo en las mañanas,
432,N/A,"desde 2 anos no le habia faltado hasta un mes. 
casa anterior: temporada de calor x escasez--> abril-mayo",igual,Continua,casa nueva. excepto ultimo mes--> más frecuente q falte. caía solo en mañana y noche,Diario,,no se dan cuenta,no se darian cuenta--pero se asegura de llenar pileta--> cuando baja nivel,7,24,24/7,168,"todo el día, pero hace un mes caía desde madrugada a las 11 am--> se saltaba 2 días en caer--no fue avisado, cree que en xq hay escasez o xq mantenimiento",pero hace un mes caía desde madrugada a las 11 am--> se saltaba 2 días en caer--no fue avisado (piensa que fue x mantenimiento),Sí,,
433,"abril, mayo",abril-mayo 4/semana en q cae x ratitos // 4 o 5 horas q esta vacío el tinaco. pensaba q es xq escasez y hay quienes dicen x pipas privadas q la roban y venden--> aprovecha para sacar lo q quede y venderlo,,Continua,,Diario,ahora,podria ser (q no se dan cuenta),puede ser,7,24,24/7,168,si 24/7,,Sí,,
434,N/A,impredecible,N/A,Intermitente,,4 a 6 días a la semana,,sí se dan cuenta,Sí se enteran,"4, 5, 6",N/A,(?)/4-6,varía,"cualquier momento, día o noche. estar pendiente--> cae en pileta, estar pendiente. Es poca para las personas q hay en la casa. Todos. tinaco de arriba--> llenar c/bomba","cualquier momento, día o noche. estar pendiente. Es poca para las personas q hay en la casa.",No,la casa esta de subida. Abajo a otros si les cae. no cae con presión--tarda mucho en llenarse,
435,"semana santa, abril","abril, semana santa--a veces 3 o 4 días. Ara que gente no gaste",N/A,Intermitente,(?) dijó 24/7 en preg. 5,Diario,,sí se dan cuenta,se da cuenta xq tambo q junta antes de tinaco--> se ve q tiene menos agua. --> abrir llave a menudo(?). despues de que cayó de nuevo--> estaba negra. Abuela se enoja si tiran el agua,7,24,24/7,168,"si se dan cuenta. todo el día, todos los días","todo el día, todos los días",Sí,,
436,"agosto, arreglos/mantenimiento",cuando hay fugas--arreglos. Agosto--> avisan que no hay agua--ahí piden pipa (cuando más falta),,Intermitente,,4 a 6 días a la semana,,sí se dan cuenta,no,"4, 5",8,8/4-5,36,4 o 5 días a la semana--> 10 a 6pm--luego cortan (ella o esposo llenan tambo),4 o 5 días a la semana--> 10 a 6pm--luego cortan,No,se demora en llenar. Ayer no pudo lavar x falta de agua,
437,septiembre,septiembre cae poca--llenan 1 tambo de tan poco --> un par de horas al día--> en la noche,disminuye,Intermitente,,Diario,,sí se dan cuenta,se dan cuenta,7,24,24/7,168,24/7,,No,cae un hilito (?). Tardan 4 horas--> termina cuando se riega/llene,
438,"junio, julio",junio-julio: cada 2 días (lun-miércoles) etc.,N/A,Intermitente,,1 a 3 días a la semana,poco desde febrero. hasta ahora (1 junio)--> excepto (no avisaron). Porque gente no ahorra agua,no se dan cuenta,no se dan cuenta,"1, 2",24,24/1-2,36,1 o 2 días pero todo el día--muy poquito,muy poquito,Sí,hervir verduras--no para beber,
439,no sabe,no sabe. es impredecible//hace mes y medio le cayó menos--> se descompuso la bomba,no sabe,Continua,,Diario,,podria ser (q no se dan cuenta),puede ser,7,24,24/7,168,24/7 la presión ha sido menos. Tinaco de abajo lo ven si esta lleno o no. dicen q robaban agua de planta. fue excepto,continua; presión ha sido menos,No,"lavar ropa, aveces bañarse",
440,no sabe,impredecible. aveces cortan hasta 15 días,cortan/deja de caer,Intermitente,,1 a 3 días a la semana,,sí se dan cuenta,si se dan cuenta,3,~3.5,~3.5/3,10.5,"viernes a dgo, 8:30 o 9:00 am-12 o 1} normal","viernes a dgo, 8:30 o 9:00 am-12 o 1} normal",No,se tardan 1 hora~1.5 horas llenar (tambos) varias veces en 1.5 horas,
450,semana santa,semana santa Porque cierran el suministro,N/A,Intermitente,,Diario,"en las mañanas 6 am cae bien, después ya no cae y vuelve a caer en la noche. Desde hace 6 meses.",sí se dan cuenta,"sí, se da cuenta, no cae ni una gota. 11am a 6pm/7",7,5,5/7,35,lunes a domingo 6am. a 11am. hay agua(.) de 11 a 6 o 7 pm. ya no hay. (más de 5 horas?),(más de 5 horas?) lunes a domingo 6am. a 11am. hay agua(.) de 11 a 6 o 7 pm. ya no hay. ,No,es común que caiga poca,
451,semana santa,semana santa--cae c/menos presión--> disminuye--> prevenir q se riegue,disminuye,Continua,,Diario,a veces cae poquito,podria ser (q no se dan cuenta),"si, probable% --> seguro q cuando limpiaron dejó de caer",7,24,24/7,168,lavaron pozos--> caía menos pero nunca se cortó,,Sí,desde calle también,
452,N/A,no identifica ninguna época,N/A,Intermitente,,1 a 3 días a la semana,,sí se dan cuenta,no hay tinaco ni cisterna. Se da cuenta inmediatamente cuando deja de caer. ,"1, 2, 3",24,24(?)/1-3,34 (17/day),"Esta última semana todo el día. Aveces por las tardes se va. Pero dice que últimamente todos los días llega (en preg. 4 dijo 1 a 3 días?) (la última semana). La semana pasada, solo salía en la noche (24 hrs?).","preg 5: Esta última semana todo el día. Aveces por las tardes se va. 
preg. 6: pero en la tarde deja de salir",Sí,"sale bien, pero en la tarde deja de salir",
453,"junio, julio",junio-julio--> baja presión--> no sube. hay fechas en las q viene muy sucia,disminuye,Continua,,Diario,baja de presión aveces,N/A,,7,24,24/7,168,por las tardes cae muy poquita--> nunca han quedado sin agua,continua; por las tardes cae muy poquita,a veces,cuando hay aprovechan de hacer cosas,
454,N/A,"todo el año es igual. En coral de charco, de ahí surten agua y les afecta cuando cierran.",igual,Continua,,Diario,llega todo el día,sí se dan cuenta,"hace un mes dejó de llegar, Pero tenía agua por el almacenamiento. sí se da cuenta",7,24,24/7,168,"lunes a domingo, todo el día.",continua; lun-dgo; todo el día,Sí,,
455,N/A,no,N/A,Intermitente,dijo 24/7 en preg. 5,Diario,"no avisaron. hace mes y medio no tuvieron agua 
1 mes--> caía a las 6am hasta 9am--> todos los días",sí se dan cuenta,sí se dan cuenta. Donde lavan trastes--> conectado a toma principal,7,24,24/7,168,normal% no les falta agua,"preg 5: 24/7
preg 3: intermitente (?)",Sí,,
456,semana santa,en semana santa. Cierran el suministro de agua,N/A,Intermitente,,4 a 6 días a la semana,,sí se dan cuenta,siempre se dan cuenta. Asi sacan agua del tinaco.,5,9-10,9-10/5,47.5,"lunes a viernes 8am a 5-6pm--reciente, los últimos 4 meses--dicen que se la roban las pipas. Antes llegaba diario, todo el día",lunes a viernes 8am a 5-6pm,No,"en las horas que tiene agua, sale con baja presión.",
457,"abril, mayo",sí. mayo y abril--> 1 día a la semana. cuando hacen limpieza,cortan/deja de caer,Intermitente,,1 a 3 días a la semana,puede ser cualquier momento. puede ser q aveces cae solo en la noche,sí se dan cuenta,sí se dan cuenta,"1, 2, 3",2-3,2-3/1-3,5,deja abierta llave (cisterna) y escucha// 6am a 8 o 9am, 6am a 8 o 9am,Sí,x cisterna y tinaco,
458,"mayo, junio",mayo-junio. Se siente más calor y todos quieren bañarse cada lado,N/A,Intermitente,5-6 horas agua al día,Diario,,no se dan cuenta,no se dan cuenta por el tinaco. se dan cuenta cuando empiezan a lavar,7,4-5,5-6 (?)/7,38.5,"diario, de lunes a domingo, 6-5 de la mañana, se va como a las 10 de la mañana. Se va por completo","diario, de lunes a domingo, 6-5 de la mañana, se va como a las 10 de la mañana. Se va por completo (4-5 horas) entonces preg. 3 dice 5-6 horas al día",Sí,,
459,"abril, mayo","abril-mayo--> 3 días sin agua. Días q es x sequia, x calores--> ella sí cree eso. // le piden a gente q se lava sdo durante día (?) o llenan tinacos en la tarde. solo en la mañana y noche--> 1 hour each",N/A,Intermitente,,Diario,edificio--> debe ser 30 años de antiguedad,a veces,aveces--trabaja,7,?,?/7,varía,"lunes--> poca presión hasta mediodía--> deja de caer
martes--> madrugada
miércoles, jueves y viernes--> poca presión--> 8 o 9 pm se corta de nuevo ",see comentarios en preg. 5,Sí,ella no bebe agua xq le da asco,
331,semana santa,semana santa. si tienen buena presión,N/A,Intermitente,continua tiene un x tmb,Diario,,N/A,lo usan constante%--> abajo llenan botes y tambos,7,4.5-5.5,4.5-5.5/7,35,8:30 am~1 o 2 pm,,Sí,,
332,"época de calor, abril, mayo, junio",calores--> Abril a Junio-->todos usan + x calor,N/A,Continua,,Diario,muy poquita--poca presión,sí se dan cuenta,se darían cuenta porque muchos usan misma pileta,7,24,24/7,168,llega con más presión en la noche,más presión en la noche,No,se turnan para lavar,
333,abril,en este (abril) Reducen el agua. Porque la cortan,cortan/deja de caer,Intermitente,,no ha llegado en las ultimas 4 semanas,,sí se dan cuenta,Sí se dan cuenta porque es un edificio grande,N/A,0.3/20 minutos,0/0,0,llegó por 20 minutos pero llegó demasiado sucia. No se podía utilizar,no ha llegado en las últimas 4 semanas; demasiado sucia,No,no llega agua,
334,octubre,"En octubre del año pasado escaseo, porque estaban dando mantenimiento.",disminuye,Intermitente,6 o 7 días en la semana. Aveces hay todo el día pero con poca presión y otros días se va como por 8 horas,4 a 6 días a la semana,,N/A,siempre mantienen lleno el tambo y la tina,"6, 7",~15 (toda la noche),~15/6-7,97.5,"se va por lapsos de tiempo. Toda la noche tienen agua, a las 10 de la mañana se va. Cambian los horarios, por lo general tienen agua diario.","6 o 7 días en la semana. Aveces hay todo el día pero con poca presión y otros días se va como por 8 horas; Toda la noche tienen agua, a las 10 de la mañana se va. Cambian los horarios, por lo general tienen agua diario;  varía mucho",Sí,,
335,"semana santa, marzo, abril",semana santa--marzo y abril--no saben si la cortan x tradiciones (sabado de gloria) o podria ser escasez. En otras colonias les cae siempre--Tlalpan x ejemplo. En esta colonia se desperdicia + el agua--> hay + personas,cortan/deja de caer,Intermitente,,1 a 3 días a la semana,baja la presión. Solo 4 veces cisterna se llenó,N/A,se escucha--> llave a cisterna--> cae en la noche | 12am a 7am--> todos los días,"1, 2, 3",7,7/1-3(?),no sabemos días,hubo 5 días seguido sin caer. | 12am a 7am--> todos los días(?),1 a 3 días a la semana; 12am a 7am--> todos los días(?),Sí,,
336,N/A,,igual,Intermitente,,Diario,muy confuso su descripción de cuando cae agua,N/A,"dejan llave abierta de pileta, en mañana cierran, prenden bomba y va al tinaco. se riega el agua",7,(?) por lo menos cae en la noche,(?)/7,en la noche,aveces abren llave y no cae agua--> abren en la noche y en la mañana ya se llena,diario; abren en la noche y en la mañana ya se llena (por lo menos cae en la noche),Sí,,
337,semana santa,"semana santa porque desgastan el agua, calor. La cortan",cortan/deja de caer,Continua,,Diario,a veces llega poca--> pero todo el día,sí se dan cuenta,se dan cuenta--tubería va directo a cocina~se darían cuenta,7,24,24/7,168,"alrededor de las 12-1 tienen menos presión, sube a las 6. pero hay siempre","alrededor de las 12-1 tienen menos presión, sube a las 6",Sí,gracias a pileta,
338,N/A,"no, estable",igual,Continua,(?) dice continua pero en preg 4 dice 4-6 días,4 a 6 días a la semana,se les acabó agua de pileta,sí se dan cuenta,casi no están en la casa. Abuela se da cuenta,"4, 5, 6",24,24/4-6(?),120,"normal% todo el día, en mes cortaron unos 5 días",preg 3 dice continua pero en preg 4 dice 4-6 días,Sí,,
339,N/A,"no, parejo",igual,Continua,,Diario,,N/A,necesitan subir el agua,7,24,24/7,168,todo el día // mañanas baja presión,continua; todo el día//mañanas baja presión,Sí,,
340,N/A,no ve diferencia en todo el año,igual,Continua,,Diario,,siempre hay agua/no deja de caer,no tienen cisterna o tinaco/No deja de caer el agua,7,24,24/7,168,"Hay agua todo el día, todos los días",continua,Sí,,
341,"marzo, abril",en este año empezó a escasear desde marzo hasta la fecha. Antes sí había,disminuye,Intermitente,todos los días de 7 a 10 de mañana,Diario,3 a 4 horas,sí se dan cuenta,no. como siempre estan llenando manguera los botes/tinas sí se dan cuenta,7,3,3-4/7,24.5,de lunes a domingo sí hay agua sólo de 7am a 10am,3 a 4 horas; todos los días de 7 a 10 de mañana,Sí,,
342,N/A,sin patrón. Aveces,N/A,Intermitente,falta 3 días al mes,4 a 6 días a la semana,"puede que no llegue todo el día, pero si en la noche",N/A,,"4, 5, 6",?,?/4-6,en la noche,"poca, sucia, solo para sanitarios y limpiar casa. No ropa xq sale c/tierra // han estado 3 días al mes sin agua","puede que no llegue todo el día, pero si en la noche",No,"antes sí les caía, hace 3 años que les cae poquito. En noticias dicen corte de agua",
343,arreglos/mantenimiento,"3 meses cae, luego 15 días no, o 1 semana. xq construyen y rompen, estan haciendo depto y se paró x 15 días",cortan/deja de caer,Intermitente,,4 a 6 días a la semana,,N/A,no hay,"4, 5, 6",?,?/4-6,varía,"variable, baja mucho la presión. llena todos sus tambos y luego siguiente en fila","4-6 días; variable, baja mucho la presión. llena todos sus tambos y luego siguiente en fila",No,cae hilo aveces,
344,"semana santa, marzo, abril",marzo-abril-semana santa. por los calores,N/A,Intermitente,Varía. Aveces por las noches aveces todo el día con baja presión,Diario,en las noches y un rato,sí se dan cuenta,Sí se dan cuenta si deja de caer porque no hay cisterna,7,~18 (?),~18(?)/7,126,cae diario en la noche y se va como a las 11 de la mañana. Ahorita cae todo el día pero baja presión,cae diario en la noche y se va como a las 11 de la mañana. Ahorita cae todo el día pero baja presión,No,presión baja durante el día,
345,abril,abril. por el calor,N/A,Intermitente,,1 a 3 días a la semana,,sí se dan cuenta,"siempre se dan cuenta, (no tiene tinaco o cisterna)",2,3,3/2 (?),6,"llego cada 3 días. Lunes, miércoles, y sábado. 3 horas x día","llego cada 3 días. Lunes, miércoles, y sábado. 3 horas x día",No,les cortan el agua de vez en cuando,
346,"semana santa, feb, abril","semana santa, feb, abril, unos días antes y después--para q no la tiren",,Intermitente,,1 a 3 días a la semana,"salió sucia luego no había, etc. semana diario, antes duraron como 1 mes sin agua",sí se dan cuenta,"cisterna es pequeña, si se dan cuenta",7,~7,~7/7 (?),49,"diario ultima semana, desde temprano hasta la 1pm--deja de caer","preg 4: 1 a 3 días/sem
preg 5: diario ultima semana, desde temprano hasta la 1pm--deja de caer",Sí,cuando llega,
347,"semana santa, marzo, abril",en semana santa=marzo-abril. Porque la gente desperdicia agua,N/A,Intermitente,,1 a 3 días a la semana,,sí se dan cuenta,sí se da cuenta cuando abre la llave. Directamente de la llave no se puede lavar porque sale poca agua,3,5-6,5-6/3,16.5,llega 3 días a la semana en las noches y madrugadas y en el día casi no cae agua. 5-6 horas de poca agua,llega 3 días a la semana. 5-6 horas de poca agua,No,porque sale muy poquita. se tiene que juntar agua para bañarse y para lavar o desu(?)arte para tener agua,
348,"semana santa, abril",Abril. Porque la quitan por el sábado de gloria de semana santa,cortan/deja de caer,Intermitente,Diario de 12-1am a 7-8am,Diario,,N/A,Sí deja de caer,7,7-8,7-8/7,52.5,Diario de 12-1 am hasta las 7-8 am,Diario de 12-1 am hasta las 7-8 am,Sí,,
349,"primavera, abril, mayo","primavera, avril--mayo--> cae menos",disminuye,Intermitente,,Diario,,sí se dan cuenta,con tambo hace que hacer--> cuando llega a mitad o menos ahí lo rellena y se da cuenta. Lo rellena una vez al día. Directo de llave solo usa para bañarse.,7,12-24,12-24(?)/7,126,"siempre, aveces no en mañana. 6 o 7 pm hasta dia sigte--> solo a veces. otras veces cae todo el día","diario; siempre, aveces no en mañana. 6 o 7 pm hasta dia sigte--> solo a veces. otras veces cae todo el día",Sí,no siempre tienen,
350,"semana santa, marzo, abril",semana santa (marzo y abril). Creo que lo hacen porque le cierran a la llave para que no se desperdicia el agua,cortan/deja de caer,Continua,,Diario,,sí se dan cuenta,"sí nos damos cuenta, llega un chorrito a veces pero sí llega",7,24,24/7,168,"diario, en la noche llega con más presión de 12:30 a 4 am. En el día disminuye la presión, no llega a la tarde (?).","continua; diario, en la noche llega con más presión de 12:30 a 4 am. En el día disminuye la presión, no llega a la tarde (?).",No,porque es un hilito lo que cae,
351,"primavera, semana santa","primavera--semana santa--> se corta pq mucha gente desperdicia, o hay fugas",cortan/deja de caer,Intermitente,,4 a 6 días a la semana,se corta completa%,sí se dan cuenta,baja nivel de agua--> se dan cuenta,"4, 5, 6",6-10 (?),6-10 (?)/4-6,40,"cuando falta, llega 2am o 6am, en la tarde tipo 12 o 1 pm deja de llegar
--> en otros meses, aunque poco, caía siempre","cuando falta, llega 2am o 6am, en la tarde tipo 12 o 1 pm deja de llegar
--> en otros meses, aunque poco, caía siempre",Sí,cuando no es chorrito,
352,"abril, mayo, arreglos/mantenimiento","desde abril a mayo escasea, supuestamente porque están limpiando el cutzamala y cierran las llaves.",disminuye,Intermitente,4-6 días a la semana,4 a 6 días a la semana,,sí se dan cuenta,"Sí ha dejado de caer, en esta semana 2 veces.","4, 5, 6",~7,~7/4-6,35,"generalmente hay de 4 a 6 días a la semana de 6 am hasta las 13:00 horas, a partir de este horario cae menos, un chorrito"," generalmente hay de 4 a 6 días a la semana de 6 am hasta las 13:00 horas, a partir de este horario cae menos, un chorrito",Sí,pero me tengo que levantar muy temprano para usarla,
353,"marzo, abril",marzo-abril creo que esta relacionado con que no llueve en estos meses.,N/A,Continua,,Diario,,siempre hay agua/no deja de caer,"no, siempre hay aunque sea poquita",7,24,24/7,168,"todos los días hay, mayor presión de 10pm a 9am. En el día solo cae un hilito","todos los días hay, mayor presión de 10pm a 9am. En el día solo cae un hilito",Sí,,
354,"primavera, arreglos/mantenimiento",esta época--inicio primavera. amiga--> no hay tanta lluvia. x temperatura ella cree otras veces dicen q es x manteni%,N/A,N/A,,Diario,"no siente tanto x tinaco, de las 4 semanas, 2 semanas no hubo. ",no se dan cuenta,"todos trabajan, no están en casa, no usan tanto",7,24,24/7,168,normal%--diario--> todo el día. Podrían no darse cuenta x tinacos. --> presión mejor en la mañana--cae menos a las 11am--> 3pm ya cae un hilito. no baja tanto.,normal%--diario--> todo el día. Podrían no darse cuenta x tinacos. --> presión mejor en la mañana--cae menos a las 11am--> 3pm ya cae un hilito. no baja tanto.,Sí,de la llave podrían lavar pero se tarda mucho,
355,arreglos/mantenimiento,temblores estable--o cuando reparan o limpian cutzamala,N/A,Continua,,Diario,teo alvarez de castilla--> podrian sacar c/cubetas de tinaco de la alcaldía,no se dan cuenta,"sí, xq es edificio (?)",7,24,24/7,168,todo el día,continua,Sí,,
356,"epoca de lluvias, agosto",en agosto ha notado que baja la presión. ha oido en las noticias que no hay abastecimiento de agua. En temporadas lluvias hay mucha agua.,disminuye,Intermitente,"casi no usan la bomba. Diario, 3 horas al día. Les alcanza el agua.",Diario,,no se dan cuenta,"deja de caer a las 14 del día. Sí, se llena solito y no se dan cuenta. pero ella sabe que a las 11 ya no hay agua.",7,3,3/7,21,"todos los días cae agua. Menos 1 día hace, una semana que hubo reparaciones. Diario. llega a las 8am a 11am.", Diario. llega a las 8am a 11am.,Sí,,
357,no sabe,"no ha puesto atencion. aveces pasan cosas c/ agua, pero no sabe",no sabe,Intermitente,,Diario,"2 semanas no llegó, últimas 3 semanas--diario",no se dan cuenta,no sabría. todo pasa x tinaco. se dan cuenta cuando se acaba,7,24,24/7,168,siempre últ. 20 días,siempre últ. 20 días,Sí,,
358,"marzo, abril","marzo a abril--piensan que la quitan x semana santa. no cae fuerte, chorrito delgado, no sube sola, se llenan tambo--> bomba--> tinaco-->manual se turnan--> 8 adultos",,Intermitente,,1 a 3 días a la semana,solo en las noches,podria ser (q no se dan cuenta),desde que empezó año que no hay agua. podría pasar,3,~5,~5/3,15,"fines de febrero hasta mayo, solo las noches, unos 3 días a la semana 3-4 am, hast 7-8 am","fines de febrero hasta mayo, solo las noches, unos 3 días a la semana 3-4 am, hast 7-8 am",Sí,"cuando hay, sí. Ahora sí llega bien",
359,epoca de lluvias,"Epocas de lluvia, porque se va más la luz y la cisterna funciona con luz.",disminuye,Continua,En ambos es continua. En el domicilio anterior era agua directa. Ahora pasa por la cisterna del condominio,Diario,en su vivienda anterior diario también,sí se dan cuenta,solo deja de caer cuando se va la luz,7,24,24/7,168,"lunes a viernes, los 7 días a la semana, las 24 horas","lunes a viernes, los 7 días a la semana, las 24 horas",Sí,,
360,N/A,"siempre misma cantidad. 1 vez en el año les cortaron es enero--> corte x 4 o 5 horas, no les afectó",igual,Continua,,Diario,,no se dan cuenta,no se darian cuenta,7,24,24/7,168,"todo el tiempo, nunca les falta","todo el tiempo, nunca les falta",Sí,,
460,"semana santa, marzo, arreglos/mantenimiento",marzo. cayó menos pero no (?) le cortaron. Año pasado corte x 5 días. dicen q x mantenimiento--> ella cree q desperdician mucho x semana santa,cortan/deja de caer,Intermitente,,Diario,,sí se dan cuenta,solo llena cuando lava o usa mucha agua --> y llenas tambos y tinacos--> sí se da cuenta! Ella llena cisterna,7,4,4/7,28,8am a las 12pm. Diario,8am a las 12pm. Diario,No,"boiler no prende x baja presión, o se apaga",
461,semana santa,semana santa--> les faltó agua--xq gente la usa para mojarse--1 o 2 semanas--anuncian en tv,cortan/deja de caer,Intermitente,,Diario,,podria ser (q no se dan cuenta),puede ser,7,4,4/7,28,"8am a 12pm, todos los días","8am a 12pm, todos los días",Sí,x la cisterna. usan llave para dientes,
462,N/A,ninguna. en el centro (--> de stgo. acahualtepec) entonces nunca les falta,igual,N/A,,Diario,,podria ser (q no se dan cuenta),podria ser,7,24,24/7,168,todos los días todo el día,todos los días todo el día,Sí,buena presión--> rompió tubos(pvc)--> que va al tinaco. flotador llegó al tope--> se regó el agua--> tinaco overflow,
